ProblemType,NumOccurrences,Year,AvgNumDaysTraining,%Mortality
SurgicalInfection,3000,2015,10,5
CatheterInfection,500,2015,5,2
SurgicalError,1000,2015,50,0
IncorrectDosage,100,2015,5,5
IncorrectMedication,400,2015,10,10
DelayInTreatment,50,2015,7,4
Misdiagnosis,100,2015,20,5
IVError,50,2015,15,5
SurgicalInfection,5000,2014,10,10
CatheterInfection,2400,2014,5,2
SurgicalError,3000,2014,50,5
IncorrectDosage,400,2014,5,15
IncorrectMedication,500,2014,10,5
DelayInTreatment,50,2014,7,10
Misdiagnosis,950,2014,20,5
IVError,50,2014,15,5
SurgicalInfection,6500,2013,10,20
CatheterInfection,4000,2013,5,10
SurgicalError,3200,2013,50,10
IncorrectDosage,1000,2013,5,20
IncorrectMedication,750,2013,10,10
DelayInTreatment,50,2013,7,10
Misdiagnosis,900,2013,20,40
IVError,50,2013,15,10
SurgicalInfection,7200,2012,10,45
CatheterInfection,4500,2012,5,15
SurgicalError,3300,2012,50,20
IncorrectDosage,1100,2012,5,30
IncorrectMedication,900,2012,10,20
DelayInTreatment,50,2012,7,15
Misdiagnosis,1000,2012,20,55
IVError,50,2012,15,10
